Effective Radius [µm], Depth [m], IWC [g/m³], SW RF [W/m²]
1.520377e+01,2.837254e+02,1.891468e-03,-5.138000e+00
1.520377e+01,2.453049e+02,1.891468e-03,-4.455800e+00
1.520377e+01,1.941890e+02,1.891468e-03,-3.563900e+00
1.520377e+01,1.144756e+02,1.891468e-03,-2.165300e+00
1.641370e+01,1.295896e+02,1.864957e-03,-2.255700e+00
1.641370e+01,2.198274e+02,1.864957e-03,-3.707400e+00
1.641370e+01,2.776921e+02,1.864957e-03,-4.643200e+00
1.641370e+01,3.211852e+02,1.864957e-03,-5.336900e+00
1.641370e+01,3.556194e+02,1.864957e-03,-5.901500e+00
1.641370e+01,3.834431e+02,1.864957e-03,-6.337000e+00
1.641370e+01,4.060175e+02,1.864957e-03,-6.708000e+00
1.641370e+01,4.241817e+02,1.864957e-03,-6.998300e+00
1.641370e+01,4.384839e+02,1.864957e-03,-7.224000e+00
1.641370e+01,4.492933e+02,1.864957e-03,-7.401400e+00
1.641370e+01,4.568577e+02,1.864957e-03,-7.530400e+00
1.641370e+01,4.613368e+02,1.864957e-03,-7.594800e+00
1.641370e+01,4.628202e+02,1.864957e-03,-7.627100e+00
1.641370e+01,4.613368e+02,1.864957e-03,-7.594800e+00
1.641370e+01,4.568577e+02,1.864957e-03,-7.530400e+00
1.641370e+01,4.492933e+02,1.864957e-03,-7.401400e+00
1.641370e+01,4.384839e+02,1.864957e-03,-7.224000e+00
