Effective Radius [µm], Depth [m], IWC [g/m³], LW RF [W/m²]
1.195585e+01,3.156799e+02,2.566049e-03,1.066140e+01
1.177464e+01,3.187749e+02,2.646383e-03,1.122960e+01
1.171475e+01,3.197999e+02,2.673761e-03,1.142400e+01
1.177464e+01,3.187749e+02,2.646383e-03,1.122960e+01
1.195585e+01,3.156799e+02,2.566049e-03,1.066140e+01
1.226300e+01,3.104530e+02,2.437958e-03,9.735000e+00
1.270372e+01,3.029840e+02,2.270135e-03,8.633900e+00
1.328839e+01,2.931014e+02,2.072568e-03,7.423300e+00
1.402933e+01,2.805503e+02,1.856203e-03,6.139100e+00
1.493873e+01,2.649518e+02,1.631921e-03,4.831400e+00
1.602321e+01,2.457262e+02,1.409637e-03,3.724300e+00
1.726978e+01,2.219328e+02,1.197619e-03,2.721500e+00
1.860476e+01,1.918799e+02,1.002019e-03,1.850800e+00
1.974362e+01,1.518965e+02,8.262368e-04,1.147800e+00
1.903106e+01,8.954396e+01,6.472147e-04,5.905000e-01
2.060215e+01,1.011975e+02,6.404558e-04,5.891000e-01
2.137353e+01,1.716649e+02,8.176082e-04,1.169200e+00
2.014065e+01,2.168519e+02,9.915549e-04,1.858000e+00
1.869547e+01,2.508160e+02,1.185112e-03,2.771700e+00
1.734599e+01,2.777059e+02,1.394916e-03,3.857600e+00
1.617197e+01,2.994336e+02,1.614878e-03,5.027600e+00
1.518751e+01,3.170622e+02,1.836818e-03,6.269900e+00
1.438540e+01,3.312467e+02,2.050924e-03,7.615800e+00
1.375246e+01,3.424155e+02,2.246427e-03,8.904400e+00
1.327535e+01,3.508566e+02,2.412498e-03,1.003190e+01
1.294285e+01,3.567637e+02,2.539251e-03,1.089210e+01
1.274668e+01,3.602614e+02,2.618746e-03,1.141910e+01
1.268185e+01,3.614198e+02,2.645838e-03,1.159930e+01
1.274668e+01,3.602614e+02,2.618746e-03,1.141910e+01
1.294285e+01,3.567637e+02,2.539251e-03,1.089210e+01
1.327535e+01,3.508566e+02,2.412498e-03,1.003190e+01
1.375246e+01,3.424155e+02,2.246427e-03,8.904400e+00
1.438540e+01,3.312467e+02,2.050924e-03,7.615800e+00
1.518751e+01,3.170622e+02,1.836818e-03,6.269900e+00
1.617197e+01,2.994336e+02,1.614878e-03,5.027600e+00
1.734599e+01,2.777059e+02,1.394916e-03,3.857600e+00
1.869547e+01,2.508160e+02,1.185112e-03,2.771700e+00
2.014065e+01,2.168519e+02,9.915549e-04,1.858000e+00
2.137353e+01,1.716649e+02,8.176082e-04,1.169200e+00
2.060215e+01,1.011975e+02,6.404558e-04,5.891000e-01
2.227143e+01,1.144756e+02,6.327377e-04,5.961000e-01
2.310531e+01,1.941890e+02,8.077552e-04,1.185500e+00
2.177254e+01,2.453049e+02,9.796057e-04,1.896000e+00
2.021026e+01,2.837254e+02,1.170830e-03,2.790300e+00
1.875144e+01,3.141436e+02,1.378106e-03,3.922700e+00
1.748230e+01,3.387222e+02,1.595417e-03,5.216300e+00
1.641807e+01,3.586638e+02,1.814683e-03,6.543300e+00
1.555097e+01,3.747095e+02,2.026208e-03,7.857800e+00
1.486675e+01,3.873437e+02,2.219356e-03,9.100400e+00
1.435098e+01,3.968923e+02,2.383425e-03,1.030110e+01
1.399153e+01,4.035744e+02,2.508650e-03,1.122620e+01
1.377947e+01,4.075312e+02,2.587188e-03,1.180680e+01
1.370939e+01,4.088415e+02,2.613953e-03,1.199660e+01
1.377947e+01,4.075312e+02,2.587188e-03,1.180680e+01
1.399153e+01,4.035744e+02,2.508650e-03,1.122620e+01
1.435098e+01,3.968923e+02,2.383425e-03,1.030110e+01
1.486675e+01,3.873437e+02,2.219356e-03,9.100400e+00
1.555097e+01,3.747095e+02,2.026208e-03,7.857800e+00
1.641807e+01,3.586638e+02,1.814683e-03,6.543300e+00
1.748230e+01,3.387222e+02,1.595417e-03,5.216300e+00
1.875144e+01,3.141436e+02,1.378106e-03,3.922700e+00
2.021026e+01,2.837254e+02,1.170830e-03,2.790300e+00
2.177254e+01,2.453049e+02,9.796057e-04,1.896000e+00
2.310531e+01,1.941890e+02,8.077552e-04,1.185500e+00
2.227143e+01,1.144756e+02,6.327377e-04,5.961000e-01
2.404381e+01,1.295896e+02,6.238692e-04,6.098000e-01
2.494405e+01,2.198274e+02,7.964337e-04,1.205500e+00
2.350522e+01,2.776921e+02,9.658755e-04,1.936200e+00
2.181861e+01,3.211852e+02,1.154420e-03,2.848800e+00
2.024370e+01,3.556194e+02,1.358790e-03,3.958100e+00
1.887356e+01,3.834431e+02,1.573056e-03,5.293200e+00
1.772464e+01,4.060175e+02,1.789248e-03,6.747100e+00
1.678853e+01,4.241817e+02,1.997808e-03,8.159100e+00
1.604986e+01,4.384839e+02,2.188249e-03,9.462900e+00
1.549305e+01,4.492933e+02,2.350019e-03,1.059170e+01
1.510499e+01,4.568577e+02,2.473489e-03,1.146570e+01
1.487606e+01,4.613368e+02,2.550925e-03,1.203930e+01
1.480040e+01,4.628202e+02,2.577316e-03,1.226220e+01
1.487606e+01,4.613368e+02,2.550925e-03,1.203930e+01
1.510499e+01,4.568577e+02,2.473489e-03,1.146570e+01
1.549305e+01,4.492933e+02,2.350019e-03,1.059170e+01
1.604986e+01,4.384839e+02,2.188249e-03,9.462900e+00
1.678853e+01,4.241817e+02,1.997808e-03,8.159100e+00
1.772464e+01,4.060175e+02,1.789248e-03,6.747100e+00
1.887356e+01,3.834431e+02,1.573056e-03,5.293200e+00
2.024370e+01,3.556194e+02,1.358790e-03,3.958100e+00
2.181861e+01,3.211852e+02,1.154420e-03,2.848800e+00
2.350522e+01,2.776921e+02,9.658755e-04,1.936200e+00
2.494405e+01,2.198274e+02,7.964337e-04,1.205500e+00
2.404381e+01,1.295896e+02,6.238692e-04,6.098000e-01
2.592809e+01,1.467628e+02,6.140522e-04,6.175000e-01
2.689888e+01,2.489588e+02,7.839011e-04,1.227100e+00
2.534729e+01,3.144917e+02,9.506766e-04,1.962800e+00
2.352851e+01,3.637485e+02,1.136254e-03,2.907400e+00
2.183017e+01,4.027459e+02,1.337408e-03,4.044800e+00
